Date,Map,Result,VOD_Link,Score_Us,Score_Enemy,MatchID,MyComp_1,MyComp_2,MyComp_3,MyComp_4,MyComp_5,Pistol_Def_W,Pistol_Atk_W,Def_R_W,Def_R_L,Atk_R_W,Atk_R_L,Source,EnComp_1,EnComp_2,EnComp_3,EnComp_4,EnComp_5,Delta,DateObj
21.02.2025,Bind,W,https://www.youtube.com/watch?v=YV-OIl9Fk8s,13.0,7.0,,Tejo,Brimstone,Viper,Gekko,Raze,1.0,1.0,6.0,2.0,7.0,5.0,Legacy,,,,,,6.0,2025-02-21
22.02.2025,Bind,L,https://www.youtube.com/watch?v=hAVYUSyujYU,6.0,13.0,,Tejo,Brimstone,Viper,Gekko,Raze,0.0,1.0,2.0,10.0,4.0,3.0,Legacy,,,,,,-7.0,2025-02-22
22.02.2025,Bind,L,-,8.0,13.0,,Tejo,Brimstone,Viper,Gekko,Raze,1.0,1.0,3.0,9.0,5.0,4.0,Legacy,,,,,,-5.0,2025-02-22
02.03.2025,Lotus,W,https://www.youtube.com/watch?v=2f9QI0l7ws4,13.0,7.0,,Tejo,Omen,Viper,Breach,Yoru,0.0,1.0,6.0,6.0,7.0,1.0,Legacy,,,,,,6.0,2025-03-02
14.03.2025,Lotus,W,https://www.youtube.com/watch?v=M-V78BipJrs,13.0,2.0,,Tejo,Omen,Viper,Breach,Yoru,1.0,1.0,3.0,0.0,10.0,2.0,Legacy,,,,,,11.0,2025-03-14
15.03.2025,Lotus,W,https://www.youtube.com/watch?v=A9Oh9VVGWAc,13.0,7.0,,Tejo,Omen,Viper,Breach,Yoru,1.0,1.0,4.0,4.0,9.0,3.0,Legacy,,,,,,6.0,2025-03-15
15.03.2025,Lotus,W,https://www.youtube.com/watch?v=zJbxueuRs84,13.0,6.0,,Tejo,Omen,Viper,Breach,Yoru,1.0,0.0,5.0,2.0,8.0,4.0,Legacy,,,,,,7.0,2025-03-15
14.03.2025,Haven,W,https://www.youtube.com/watch?v=dQpn58KG3H0,13.0,11.0,,Tejo,Omen,Cypher,Breach,Jett,0.0,0.0,5.0,7.0,8.0,4.0,Legacy,,,,,,2.0,2025-03-14
22.03.2025,Pearl,W,https://www.youtube.com/watch?v=yy6hroUkm04,13.0,9.0,,Sova,Astra,Vyse,Chamber,Yoru,0.0,0.0,7.0,5.0,6.0,4.0,Legacy,,,,,,4.0,2025-03-22
23.03.2025,Pearl,W,https://www.youtube.com/watch?v=w8CScvvlMIM,13.0,9.0,,Sova,Astra,Vyse,Chamber,Yoru,0.0,0.0,4.0,6.0,9.0,3.0,Legacy,,,,,,4.0,2025-03-23
28.03.2025,Split,L,https://www.youtube.com/watch?v=aamnB6RHmzU,12.0,14.0,,Tejo,Astra,Deadlock,Breach,Raze,0.0,1.0,3.0,10.0,9.0,4.0,Legacy,,,,,,-2.0,2025-03-28
29.03.2025,Split,L,https://www.youtube.com/watch?v=mCtIiDU7d8I,14.0,16.0,,Tejo,Astra,Deadlock,Breach,Raze,0.0,0.0,5.0,10.0,9.0,6.0,Legacy,,,,,,-2.0,2025-03-29
30.03.2025,Split,W,https://www.youtube.com/watch?v=mCtIiDU7d8I,13.0,10.0,,Tejo,Astra,Deadlock,Breach,Raze,1.0,0.0,8.0,4.0,5.0,6.0,Legacy,,,,,,3.0,2025-03-30
